format,sourceid,collection_name,filename,year,photographer,label,marque,model,model_year,people,city,state,country,event,description,inst_notes,prod_notes,has_more_metadata,format_authority
black-and-white negatives,2004-100CRAI-b1_35.0_0004,Bruce R Craig Photograph Collection,2004-100CRAI-b1_35.0_0004.tif,1953,Ted Wilson,Bay Meadows Speedway,,,,,Bay Meadows Speedway | San Mateo (Calif.) | United States,,action in turn,,,
black-and-white negatives,2004-100CRAI-b1_36.0_0001,Bruce R Craig Photograph Collection,2004-100CRAI-b1_36.0_0001.tif,1953,Ted Wilson,Bay Meadows Speedway,,,,,Bay Meadows Speedway | San Mateo (Calif.) | United States,,action 2 cars in turn,,,
black-and-white negatives,2004-100CRAI-b1_36.0_0002,Bruce R Craig Photograph Collection,2004-100CRAI-b1_36.0_0002.tif,1953,Ted Wilson,Bay Meadows Speedway,,,,,Bay Meadows Speedway | San Mateo (Calif.) | United States,,action 2 cars in turn,,,
black-and-white negatives,2004-100CRAI-b1_36.0_0003,Bruce R Craig Photograph Collection,2004-100CRAI-b1_36.0_0003.tif,1953,Ted Wilson,Bay Meadows Speedway,,,,,Bay Meadows Speedway | San Mateo (Calif.) | United States,,action 2 cars in turn,,,
black-and-white negatives,2004-100CRAI-b1_36.0_0004,Bruce R Craig Photograph Collection,2004-100CRAI-b1_36.0_0004.tif,1953,Ted Wilson,Bay Meadows Speedway,,,,,Bay Meadows Speedway | San Mateo (Calif.) | United States,,action in turn,,,
black-and-white negatives,2004-100CRAI-b1_37.0_0001,Bruce R Craig Photograph Collection,2004-100CRAI-b1_37.0_0001.tif,1953,Ted Wilson,Bay Meadows Speedway,,,,,Bay Meadows Speedway | San Mateo (Calif.) | United States,,2 car action in turn,,,
black-and-white negatives,2004-100CRAI-b1_37.0_0002,Bruce R Craig Photograph Collection,2004-100CRAI-b1_37.0_0002.tif,1953,Ted Wilson,Bay Meadows Speedway,,,,"Agabashian, Fred",Bay Meadows Speedway | San Mateo (Calif.) | United States,,pushing,,,
black-and-white negatives,2004-100CRAI-b1_37.0_0003,Bruce R Craig Photograph Collection,2004-100CRAI-b1_37.0_0003.tif,1953,Ted Wilson,Bay Meadows Speedway,,,,,Bay Meadows Speedway | San Mateo (Calif.) | United States,,2 car action in turn,,,
black-and-white negatives,2004-100CRAI-b1_38.0_0001,Bruce R Craig Photograph Collection,2004-100CRAI-b1_38.0_0001.tif,,Ted Wilson,Action San Jose Speedway,,,,"Stapp, Elbert ""Babe"" | Quinn, Francis | Kennealy, Mel",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_38.0_0002,Bruce R Craig Photograph Collection,2004-100CRAI-b1_38.0_0002.tif,5/28/1939,Bruce R Craig,Action San Jose Speedway,,,,"Rand, Joe",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_38.0_0003,Bruce R Craig Photograph Collection,2004-100CRAI-b1_38.0_0003.tif,5/28/1939,Bruce R Craig,Action San Jose Speedway,,,,"Dent, George",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_38.0_0004,Bruce R Craig Photograph Collection,2004-100CRAI-b1_38.0_0004.tif,,Bruce R Craig,Action San Jose Speedway,,,,"Leverette, Bayliss | McNamara, Jack",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_39.0_0001,Bruce R Craig Photograph Collection,2004-100CRAI-b1_39.0_0001.tif,6/12/1938,Ted Wilson,Action San Jose Speedway,,,,,San Jose (Calif.) | United States,,10 cars in turn,,,
black-and-white negatives,2004-100CRAI-b1_39.0_0002,Bruce R Craig Photograph Collection,2004-100CRAI-b1_39.0_0002.tif,6/12/1938,Ted Wilson,Action San Jose Speedway,,,,,San Jose (Calif.) | United States,,4 cars in turn,,,
black-and-white negatives,2004-100CRAI-b1_39.0_0003,Bruce R Craig Photograph Collection,2004-100CRAI-b1_39.0_0003.tif,,Ted Wilson,Action San Jose Speedway,,,,,San Jose (Calif.) | United States,,4 cars in turn,,,
black-and-white negatives,2004-100CRAI-b1_39.0_0004,Bruce R Craig Photograph Collection,2004-100CRAI-b1_39.0_0004.tif,,Bruce R Craig,Action San Jose Speedway,,,,,San Jose (Calif.) | United States,,trick rider,,,
black-and-white negatives,2004-100CRAI-b1_40.0_0001,Bruce R Craig Photograph Collection,2004-100CRAI-b1_40.0_0001.tif,,Ted Wilson,Action San Jose Speedway,,,,"Keneally, Mel | Stubblefield, Wilburn ""Stubby"" Hartwell",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_40.0_0002,Bruce R Craig Photograph Collection,2004-100CRAI-b1_40.0_0002.tif,1/12/1941,Bruce R Craig,Action San Jose Speedway,,,,,San Jose (Calif.) | United States,,miniature car at speed,,,
black-and-white negatives,2004-100CRAI-b1_40.0_0003,Bruce R Craig Photograph Collection,2004-100CRAI-b1_40.0_0003.tif,7/10/1938,Bruce R Craig,Action San Jose Speedway,,,,,San Jose (Calif.) | United States,,4 cars in start,,,
black-and-white negatives,2004-100CRAI-b1_40.0_0004,Bruce R Craig Photograph Collection,2004-100CRAI-b1_40.0_0004.tif,,Ted Wilson,Action San Jose Speedway,,,,"Balmer, Herb",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_41.0_0001,Bruce R Craig Photograph Collection,2004-100CRAI-b1_41.0_0001.tif,,Ted Wilson,Action San Jose Speedway,,,,"Triplett, Ernie",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_41.0_0002,Bruce R Craig Photograph Collection,2004-100CRAI-b1_41.0_0002.tif,5/28/1939,Ted Wilson,Action San Jose Speedway,,,,,San Jose (Calif.) | United States,,2 cars in turn,,,
black-and-white negatives,2004-100CRAI-b1_41.0_0003,Bruce R Craig Photograph Collection,2004-100CRAI-b1_41.0_0003.tif,5/28/1939,Bruce R Craig,Action San Jose Speedway,,,,"Dent, George",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_41.0_0004,Bruce R Craig Photograph Collection,2004-100CRAI-b1_41.0_0004.tif,,Bruce R Craig,Action San Jose Speedway,,,,"Buxton, Jack",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_42.0_0001,Bruce R Craig Photograph Collection,2004-100CRAI-b1_42.0_0001.tif,,Ted Wilson,Action San Jose Speedway,,,,"Triplett, Ernie",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_42.0_0002,Bruce R Craig Photograph Collection,2004-100CRAI-b1_42.0_0002.tif,,Ted Wilson,Action San Jose Speedway,,,,,San Jose (Calif.) | United States,,6 cars in start,,,
black-and-white negatives,2004-100CRAI-b1_42.0_0003,Bruce R Craig Photograph Collection,2004-100CRAI-b1_42.0_0003.tif,,Bruce R Craig,Action San Jose Speedway,,,,"Whitmer, Buck | Fanucchi, Andy",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_42.0_0004,Bruce R Craig Photograph Collection,2004-100CRAI-b1_42.0_0004.tif,,Ted Wilson,Action San Jose Speedway,,,,"Keneally. Mel | Triplett, Ernie | Carey, Bob | Palmer, Sam",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_43.0_0001,Bruce R Craig Photograph Collection,2004-100CRAI-b1_43.0_0001.tif,,Bruce R Craig,Action San Jose Speedway,,,,"Tomei, Louie",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_43.0_0002,Bruce R Craig Photograph Collection,2004-100CRAI-b1_43.0_0002.tif,,Ted Wilson,Action San Jose Speedway,,,,"Edwards, Herk",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_43.0_0003,Bruce R Craig Photograph Collection,2004-100CRAI-b1_43.0_0003.tif,,Ted Wilson,Action San Jose Speedway,,,,"Smith, Swede | Balmer Herb",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_43.0_0004,Bruce R Craig Photograph Collection,2004-100CRAI-b1_43.0_0004.tif,,Bruce R Craig,Action San Jose Speedway,,,,"Suares, Manuel",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_44.0_0001,Bruce R Craig Photograph Collection,2004-100CRAI-b1_44.0_0001.tif,,Bruce R Craig,Action San Jose Speedway,,,,"Whitmer, Buck | Fanucchi, Andy",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_44.0_0002,Bruce R Craig Photograph Collection,2004-100CRAI-b1_44.0_0002.tif,,Ted Wilson,Action San Jose Speedway,,,,"Keneally, Mel",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_44.0_0003,Bruce R Craig Photograph Collection,2004-100CRAI-b1_44.0_0003.tif,,Ted Wilson,Action San Jose Speedway,,,,"Weber, George | McNamara, Jack",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_44.0_0004,Bruce R Craig Photograph Collection,2004-100CRAI-b1_44.0_0004.tif,,Ted Wilson,Action San Jose Speedway,,,,"Horn, Ted",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_45.0_0001,Bruce R Craig Photograph Collection,2004-100CRAI-b1_45.0_0001.tif,,Bruce R Craig,Action San Jose Speedway,,,,"Fanucchi, Andy | Whitmer, Buck",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_45.0_0002,Bruce R Craig Photograph Collection,2004-100CRAI-b1_45.0_0002.tif,,Ted Wilson,Action San Jose Speedway,,,,"Stapp, Elbert ""Babe""",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_45.0_0004,Bruce R Craig Photograph Collection,2004-100CRAI-b1_45.0_0004.tif,,Ted Wilson,Action San Jose Speedway,,,,"Stubblefield, Wilburn ""Stubby"" Hartwell",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_45.0_0005,Bruce R Craig Photograph Collection,2004-100CRAI-b1_45.0_0005.tif,,Ted Wilson,Action San Jose Speedway,,,,"Triplett, Ernie",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_46.0_0001,Bruce R Craig Photograph Collection,2004-100CRAI-b1_46.0_0001.tif,,Bruce R Craig,Action San Jose Speedway,,,,,San Jose (Calif.) | United States,,5 cars in turn,,,
black-and-white negatives,2004-100CRAI-b1_46.0_0002,Bruce R Craig Photograph Collection,2004-100CRAI-b1_46.0_0002.tif,5/28/1939,Bruce R Craig,Action San Jose Speedway,,,,"Rand, Joe",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_46.0_0003,Bruce R Craig Photograph Collection,2004-100CRAI-b1_46.0_0003.tif,5/28/1939,Bruce R Craig,Action San Jose Speedway,,,,"Dutra, Tony",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_46.0_0004,Bruce R Craig Photograph Collection,2004-100CRAI-b1_46.0_0004.tif,,Ted Wilson,Action San Jose Speedway,,,,"Balmer, Herb",San Jose (Calif.) | United States,,,,,
black-and-white negatives,2004-100CRAI-b1_47.0_0001,Bruce R Craig Photograph Collection,2004-100CRAI-b1_47.0_0001.tif,,Ted Wilson,Action San Jose Speedway,,,,,San Jose (Calif.) | United States,,2 cars in stretch,,,
black-and-white negatives,2004-100CRAI-b1_48.0_0001,Bruce R Craig Photograph Collection,2004-100CRAI-b1_48.0_0001.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Larazalere, Bill",,,,,,
black-and-white negatives,2004-100CRAI-b1_48.0_0002,Bruce R Craig Photograph Collection,2004-100CRAI-b1_48.0_0002.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Whitty, Frank",,,,,,
black-and-white negatives,2004-100CRAI-b1_48.0_0003,Bruce R Craig Photograph Collection,2004-100CRAI-b1_48.0_0003.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Brenneman, Ken",,,,,,
black-and-white negatives,2004-100CRAI-b1_48.0_0004,Bruce R Craig Photograph Collection,2004-100CRAI-b1_48.0_0004.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Grady, Neil",,,,,,
black-and-white negatives,2004-100CRAI-b1_49.0_0001,Bruce R Craig Photograph Collection,2004-100CRAI-b1_49.0_0001.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Barlow, Willy",,,,,,
black-and-white negatives,2004-100CRAI-b1_49.0_0002,Bruce R Craig Photograph Collection,2004-100CRAI-b1_49.0_0002.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Rowland, Bill",,,,,,
black-and-white negatives,2004-100CRAI-b1_49.0_0003,Bruce R Craig Photograph Collection,2004-100CRAI-b1_49.0_0003.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Van Tassel, Dutch",,,,,,
black-and-white negatives,2004-100CRAI-b1_49.0_0004,Bruce R Craig Photograph Collection,2004-100CRAI-b1_49.0_0004.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Robert, Hank",,,,,,
black-and-white negatives,2004-100CRAI-b1_50.0_0001,Bruce R Craig Photograph Collection,2004-100CRAI-b1_50.0_0001.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Lindquist, Rand",,,,,,
black-and-white negatives,2004-100CRAI-b1_50.0_0002,Bruce R Craig Photograph Collection,2004-100CRAI-b1_50.0_0002.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Edwards, Herk",,,,,,
black-and-white negatives,2004-100CRAI-b1_50.0_0003,Bruce R Craig Photograph Collection,2004-100CRAI-b1_50.0_0003.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Oliver, Dave",,,,,,
black-and-white negatives,2004-100CRAI-b1_50.0_0004,Bruce R Craig Photograph Collection,2004-100CRAI-b1_50.0_0004.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Grady, Neil",,,,,,
black-and-white negatives,2004-100CRAI-b1_51.0_0001,Bruce R Craig Photograph Collection,2004-100CRAI-b1_51.0_0001.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Oliver, Dave",,,,,,
black-and-white negatives,2004-100CRAI-b1_51.0_0002,Bruce R Craig Photograph Collection,2004-100CRAI-b1_51.0_0002.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Agabashian, Fred",,,,,,
black-and-white negatives,2004-100CRAI-b1_51.0_0003,Bruce R Craig Photograph Collection,2004-100CRAI-b1_51.0_0003.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,,,,Lineup of cars,,,
black-and-white negatives,2004-100CRAI-b1_51.0_0004,Bruce R Craig Photograph Collection,2004-100CRAI-b1_51.0_0004.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Baker, Charles",,,,,,
black-and-white negatives,2004-100CRAI-b1_52.0_0001,Bruce R Craig Photograph Collection,2004-100CRAI-b1_52.0_0001.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Oliver, Dave",,,,,,
black-and-white negatives,2004-100CRAI-b1_52.0_0002,Bruce R Craig Photograph Collection,2004-100CRAI-b1_52.0_0002.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Roberts, Hank",,,,,,
black-and-white negatives,2004-100CRAI-b1_52.0_0003,Bruce R Craig Photograph Collection,2004-100CRAI-b1_52.0_0003.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Rodgers, Sonny",,,,,,
black-and-white negatives,2004-100CRAI-b1_52.0_0004,Bruce R Craig Photograph Collection,2004-100CRAI-b1_52.0_0004.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"McNamara, Jack",,,,,,
black-and-white negatives,2004-100CRAI-b1_53.0_0001,Bruce R Craig Photograph Collection,2004-100CRAI-b1_53.0_0001.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"McNamara, Jack",,,,,,
black-and-white negatives,2004-100CRAI-b1_53.0_0002,Bruce R Craig Photograph Collection,2004-100CRAI-b1_53.0_0002.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Whitty, Frank",,,,,,
black-and-white negatives,2004-100CRAI-b1_53.0_0003,Bruce R Craig Photograph Collection,2004-100CRAI-b1_53.0_0003.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Banker, Buster",,,,,,
black-and-white negatives,2004-100CRAI-b1_53.0_0004,Bruce R Craig Photograph Collection,2004-100CRAI-b1_53.0_0004.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Armstrong, Art",,,,,,
black-and-white negatives,2004-100CRAI-b1_54.0_0001,Bruce R Craig Photograph Collection,2004-100CRAI-b1_54.0_0001.tif,4/7/1938,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Cooper, Glenn",,,,,,
black-and-white negatives,2004-100CRAI-b1_54.0_0002,Bruce R Craig Photograph Collection,2004-100CRAI-b1_54.0_0002.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Becker, Leon",,,,,,
black-and-white negatives,2004-100CRAI-b1_54.0_0003,Bruce R Craig Photograph Collection,2004-100CRAI-b1_54.0_0003.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Dreisback, Les",,,,,,
black-and-white negatives,2004-100CRAI-b1_54.0_0004,Bruce R Craig Photograph Collection,2004-100CRAI-b1_54.0_0004.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Roberts, Hank",,,,,,
black-and-white negatives,2004-100CRAI-b1_55.0_0001,Bruce R Craig Photograph Collection,2004-100CRAI-b1_55.0_0001.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Grady, Neil",,,,,,
black-and-white negatives,2004-100CRAI-b1_55.0_0002,Bruce R Craig Photograph Collection,2004-100CRAI-b1_55.0_0002.tif,4/10/1938,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Dreisback, Les",,,,,,
black-and-white negatives,2004-100CRAI-b1_55.0_0003,Bruce R Craig Photograph Collection,2004-100CRAI-b1_55.0_0003.tif,4/10/1938,Bruce R Craig,San Francisco Midget Driver - Stills,,,,,,,,,,
black-and-white negatives,2004-100CRAI-b1_55.0_0004,Bruce R Craig Photograph Collection,2004-100CRAI-b1_55.0_0004.tif,4/7/1938,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Cooper, Glenn",,,,,,
black-and-white negatives,2004-100CRAI-b1_56.0_0001,Bruce R Craig Photograph Collection,2004-100CRAI-b1_56.0_0001.tif,,Bruce R Craig,San Francisco Midget Driver - Stills,,,,"Roberts, Hank",,,,,,